tweet_id,content,sentimento_geral,sarcasmo,sentimento_palavra,comentario,dificuldade,avaliador,dia_hora,certeza,emocao
A3399,"É o Paraná saindo na frente, com uma legislação própria, com mais proteção nas novas campanha de vacinação que devemos ter nos próximos anos.\nLeia mais: https://t.co/brwn4uxXhV",Positivo,Sem sarcasmo/Ironia,"Entusiasmo, alegria, otimismo",,2 - Fácil,luizh.batista@usp.br,2023-11-03 02:04,4,otimismo
A1249,"Israel 🇮🇱👏🏻\n-usa aplicativos no combate ao Covid19 \n-disponibilizou, gratuitamente p/ o mundo, projeto de respirador low cost.\n- desenvolveu 2 potenciais vacinas q começarão ser testadas em junho.\nIsrael,\n- mantém a QUARENTENA p/evitar o colapso do sistema de saúde https://t.co/aHJzRZOCdK",Positivo,Sem sarcasmo/Ironia,"Otimismo, alegria, excitação",,3 - Difícil,luizh.batista@usp.br,2023-11-05 15:49,,
A3989,"Perdão pela dose de sinceridade, mas está insuportável a quantidade de pessoas que chegam aos postos de vacinação e dizem: “- Só tem Astrazeneca ? Só tem Pfizer?” Por favor … não se trata de drivethru c/ direito a menu degustação. Vacina boa é a que estiver disponível e pronto !",Negativo,Sem sarcasmo/Ironia,"Crítica, indignação",,3 - Difícil,luizh.batista@usp.br,2023-11-05 15:50,,
A3374,"É de extrema importância o depoimento do diretor da Pfizer. Ele está provando a negligência, incompetência e descaso do governo Bolsonaro com a pandemia ao ignorar inúmeras ofertas de vacina. Além de escancarar as mentiras e a desorganização do desgoverno genocida. #ImpeachmentJá",Negativo,Sem sarcasmo/Ironia,Crítica,,3 - Difícil,luizh.batista@usp.br,2023-11-05 15:52,,
A4038,É assustador o que está acontecendo no Brasil e o caos segue se alastrando sem solução. BH atingiu hoje a maior taxa de transmissão do coronavírus dos últimos 9 meses. Minha luta na Câmara é por vacina e auxílio emergencial. É URGENTE! https://t.co/7VxLP5iRBV,Negativo,Sem sarcasmo/Ironia,"Crítica, temor",,3 - Difícil,luizh.batista@usp.br,2023-11-05 15:52,,
A4113,"Especialistas alertam que o CE pode iniciar a terceira onda de Covid antes mesmo de terminar a segunda. Ou seja, pode começar ainda em um patamar muito alto de casos. A pandemia continua forte. Temos de continuar nos cuidando e pressionando por vacina no braço e comida na mesa",Negativo,Sem sarcasmo/Ironia,"Temor, preocupação",,3 - Difícil,luizh.batista@usp.br,2023-11-05 15:53,,
A1411,"Como não se pode confiar no governo do Genocida, temos que manter a vigilância e a pressão. Mas, ao que tudo indica, fracassou a Revolta da Vacina às avessas que Bolsonaro tentou impor ao país. #VacinaJa #VacinaParaTodos",Negativo,Sem sarcasmo/Ironia,"Preocupação, alívio","Temos uma preocupação envolvida, mas certo alívio com o ""fracasso da revolta das vacinas""",4 - Muito Difícil,luizh.batista@usp.br,2023-11-05 15:56,,
A4377,"Após solicitação da @Cobrapoloficial, o Ministério da Saúde incluiu policiais civis, federais, militares, rodoviários, bombeiros e guardas municipais entre os grupos prioritários no Plano Nacional de Imunização. Questão de justiça! https://t.co/KsXyXtkaK2\n#DelegadaMarthaRocha",Positivo,Sem sarcasmo/Ironia,Satisfação,,3 - Difícil,luizh.batista@usp.br,2023-11-05 15:57,,
A3053,A ideia é agilizar os procedimentos e fazer com que a vacina chegue de forma mais breve aos brasileiros.,Positivo,Sem sarcasmo/Ironia,Proatividade,,3 - Difícil,luizh.batista@usp.br,2023-11-05 15:58,,
A6311,"Parabéns aos trabalhadores da limpeza urbana de São Paulo pela organização, luta e combatividade. Sem vacina, sem coleta! https://t.co/xVGZAnLyPH",Positivo,Sem sarcasmo/Ironia,"Felicidade, reconhecimento",,2 - Fácil,luizh.batista@usp.br,2023-11-05 15:58,3,felicidade
A940,"O Rio já está em colapso. Falta o que p/ fechar tudo? O Crivella anunciou um tal de “lockdown parcial”, isso é absurdo, é brincar com a vida das pessoas. A Fiocruz já apontou a medida como urgente e necessária para salvar vidas. \n\nhttps://t.co/uzBCo6MAUh",Negativo,Sem sarcasmo/Ironia,"Preocupação, temor",,2 - Fácil,luizh.batista@usp.br,2023-11-05 15:59,4,indignação
A6512,"Quer participar dos testes da Butanvac?\n\nO Butantan lançou site com pré-cadastro p/ interessados. O Instituto já tem 8 milhões de doses produzidas. Esta será a primeira vacina brasileira que não depende de insumos de outros países. Para participar, acesse: https://t.co/tBKS0hIYTp",Positivo,Sem sarcasmo/Ironia,"Alegria, esperança, otimismo",Existe certa dose de esperança e otimismo neste texto por indicar uma crença de que as coisas têm dado certo e certa confiança/desejo de que podem melhorar,3 - Difícil,luizh.batista@usp.br,2023-11-05 16:02,,
A6918,Laura Mattos: Governo de SP antecipa vacinação dos professores e diz que ampliará ensino presencial https://t.co/K21AvgerBl,Neutro,Sem sarcasmo/Ironia,neutralidade,Não tem como sabermos se o texto transmite um sentimento negativo ou positivo em relação às medidas tomadas pelo governo de SP,3 - Difícil,luizh.batista@usp.br,2023-11-05 16:04,,
A2986,"Com a Covid-19, ficamos mais atentos à importância da imunização, mas não é de hoje que a vacina é tida como meio de prevenção, nos protegendo de diversas doenças e salvando vidas. Por isso, no dia da vacina, eu repito: Não deixe de se imunizar! ?? #DelegadaMarthaRocha https://t.co/AXfMkCzFgN",Positivo,Sem sarcasmo/Ironia,"Apelativo, preocupação",,3 - Difícil,luizh.batista@usp.br,2023-11-05 16:15,,
A2783,"Hoje, na UFMA, a @PrefeituraSL, mesmo com agendamento exclusivo pela internet, permite que idosos esperem por mais de 2 horas para ter acesso a uma vacina.\nMais uma vez, sugiro: descentralizem o atendimento e utilizem as unidades básicas de saúde espalhadas por toda a cidade. https://t.co/OtCBbMBxaU",Negativo,Sem sarcasmo/Ironia,"Apelativo, crítica, preocupação",,3 - Difícil,luizh.batista@usp.br,2023-11-05 16:17,,
A5770,"Para tristeza do Bolsonaro, VACINEI!! ???? #VivaOSuS https://t.co/C7LslEeMkS",Positivo,Sarcástico/Irônico,"Alegria, ânimo",,2 - Fácil,luizh.batista@usp.br,2023-11-05 16:27,4,felicidade
A4214,Boa noite! A lista de agendados para a vacinação nesta terça-feira (4/5) está disponível. Confiram:\n\nhttps://t.co/Y9gfG2t5Qi,Positivo,Sem sarcasmo/Ironia,"Felicidade, tranquilidade",O fato de o texto começar com cumprimento exclamativo me faz ter a impressão de que existe certa alegria em comunicar a lista de agendados para a vacinação,4 - Muito Difícil,luizh.batista@usp.br,2023-11-05 16:35,,
A4987,"A partir de segunda-feira, receberão a 2°dose as pessoas entre 79 e 70. \nSegunda (29): 79, 78 e 77 anos \nTerça (30): 76, 75 e 74 anos\nQuarta (31) 73 e 72 anos\nQuinta(1/4): 71 e 70 anos\nSerão 16 postos de vacinação em toda Belém. #BelémVacinada",Positivo,Sem sarcasmo/Ironia,"otimismo, triunfo, proteção",,3 - Difícil,luizh.batista@usp.br,2023-11-05 16:36,,
A6527,"76% das vacinas do mundo concentram-se em 10 países. O Senado mostrou que patentes não podem ser tabu. Nosso PL 1462/20, que quebra o monopólio das empresas que têm patente na pandemia, precisa ser votado. O lucro de bilionários não pode valer mais do que a vida. #VacinaJá",Negativo,Sem sarcasmo/Ironia,"Incômodo, indignação, apelação, ansiedade","Acredito que há certo teor de ansiedade no texto porque além da indignação há uma possível solução para o problema, solução que quem escreveu o texto quer muito, mas que não ainda há incerteza sobre se ela será adotada ou não",3 - Difícil,luizh.batista@usp.br,2023-11-05 16:42,,
A1865,@zehdeabreu Querido @zehdeabreu esse cara é podre já está fazendo campanha contra a vacina https://t.co/AvEsScTN2m,Negativo,Sem sarcasmo/Ironia,Antipatia,,2 - Fácil,luizh.batista@usp.br,2023-11-05 16:45,4,desprezo
A1944,"Desejo a você e a toda a sua família muita saúde em 2021. Que seja um ano de mais oportunidades e igualdade. \n\nNão se esqueça: vamos cuidar uns dos outros. Use máscara, evite aglomerações. E que venha a vacina!\n\n#Feliz2021",Positivo,Sem sarcasmo/Ironia,"Gentileza, solidariedade, preocupação ",Preocupação com a saúde de outras pessoas. Esse tweet me fez perceber que preocupação é um sentimento que ser negativo ou positivo,2 - Fácil,luizh.batista@usp.br,2023-11-05 16:50,4,"zelo, otimismo"
A4180,"Se Ivermectina adiantasse, o caos não estaria aqui em Natal com a falta de Leitos e UTI. Só existe um caminho, vacinação. Mas, o PAJÉ achou que podia esnobar a Pfizer, zombar da China e da Índia.",Negativo,Sem sarcasmo/Ironia,"Preocupação, alarme",,3 - Difícil,luizh.batista@usp.br,2023-11-05 16:53,,
A1531,"Nós já temos um plano bem definido para a vacinação da população macapaense. De Saúde eu entendo, e vou cuidar de você! Vem com o 23! https://t.co/MQa3DeCgQo",Positivo,Sem sarcasmo/Ironia,"Responsabilidade, proteção, otimismo",,2 - Fácil,luizh.batista@usp.br,2023-11-05 16:54,4,"otimismo, confiança"
A3908,@liviames @humanightall É isso mesmo. A vacinação do ensino médio e superior foi antecipada. #EquipeEd,Positivo,Sem sarcasmo/Ironia,Realização,"Pensei em classificar como neutro. No entanto, existem muitos elementos contextuais que me fazem classificar o texto como positivo. O fato de antecipar a vacinação significa que uma ação foi tomada antes do tempo que era esperado. Os municípios não eram obrigados a antecipar calendário. Logo, antecipar calendário estava associado a algo positivo e atrasar calendário a algo negativo.",4 - Muito Difícil,luizh.batista@usp.br,2023-11-05 16:59,,
A4315,"@tadeu_fo @PrefAracaju Tadeu, a pessoa já conseguiu se vacinar?",Neutro,Sem sarcasmo/Ironia,"Dúvida, questionamento, preocupação",,3 - Difícil,luizh.batista@usp.br,2023-11-05 16:59,,
A4135,"Boa noite! Em virtude de instabilidades na página da @prefeiturapmf nesta quinta-feira (15), estamos disponibilizando a lista de agendados para a vacinação contra a Covid-19 de amanhã (16) neste link: https://t.co/h4F46Drhs3 https://t.co/nLjRzHRg8m",Neutro,Sem sarcasmo/Ironia,Neutralidade,Texto apenas informa,3 - Difícil,luizh.batista@usp.br,2023-11-06 09:59,,
A3165,Boa tarde! As listas de agendados para a vacinação deste domingo (30/5) estão atualizadas e disponíveis no site da @prefeiturapmf. Confiram: \n\nhttps://t.co/59Z6zZMbnr,Positivo,Sem sarcasmo/Ironia,Tranquilidade,,4 - Muito Difícil,luizh.batista@usp.br,2023-11-06 10:01,,
A4422,O CEO da Pfizer se maquinando pra ver se finalmente consegue se atendido pelo Bolsonaro https://t.co/oDue0H0rHz,Negativo,Sem sarcasmo/Ironia,Crítica,,3 - Difícil,luizh.batista@usp.br,2023-11-06 10:03,,
A3606,"Porto Alegre ampliou a faixa etária de vacinação contra a Covid-19 até pessoas com 37 anos nesta semana. Amanhã, vamos iniciar a imunização do público de 41 anos ou mais. Fique atento e vacine-se! ?? https://t.co/N20AegCBvQ",Positivo,Sem sarcasmo/Ironia,"Apelativo, proteção",,3 - Difícil,luizh.batista@usp.br,2023-11-06 10:06,,
A806,"A vacina tem que ser para todos! Brincar com a vida das pessoas é criminoso! Se Bolsonaro vai seguir em uma postura genocida, os demais Poderes precisam assumir a linha de frente para a superação da Pandemia! #ForaBolsonaro https://t.co/sWvSR8LI2L",Negativo,Sem sarcasmo/Ironia,"Preocupação, crítica, apelativo",,3 - Difícil,luizh.batista@usp.br,2023-11-06 10:10,,
A541,"O presidente que mais atacou a ciência e aplicou uma política genocida para atender os interesses dos ricos dizendo que precisa investir na cura e não na vacina. Cada dia que passa, ele prejudica mais o Brasil. Repito: tirá-lo do poder é uma medida sanitária. #ForaBolsonaro",Negativo,Sem sarcasmo/Ironia,"Hostilidade, irritação, insegurança, preocupação",,3 - Difícil,luizh.batista@usp.br,2023-11-06 10:18,,
A4950,"@Lucasssaraiva Olá! Fique tranquilo! Após realizar o cadastro, a pessoa deve aguardar o contato da Prefeitura por e-mail e WhatsApp, que será realizado próximo à data da vacinação.",Positivo,Sem sarcasmo/Ironia,"Tranquilidade, calma, disposição",,2 - Fácil,luizh.batista@usp.br,2023-11-06 10:19,4,tranquilidade
A6849,O Brasil não tem condições de receber a Copa América porque Bolsonaro recusou 11 ofertas de vacinas ano passado e atrasou por incompetência a imunização contra a Covid-19 no país. https://t.co/zmIMowgIUx,Negativo,Sem sarcasmo/Ironia,"Frustração, incômodo",,3 - Difícil,luizh.batista@usp.br,2023-11-06 10:28,,
A3955,"Começa nesta segunda-feira (31) o calendário de vacinação para a população em geral por idade. \n\nNesta primeira semana, serão imunizadas pessoas de 59 e 58 anos. \n\nVeja o calendário completo em https://t.co/LkQiXiOW9X https://t.co/VheuUc4E0w",Neutro,Sem sarcasmo/Ironia,Texto informativo,,3 - Difícil,luizh.batista@usp.br,2023-11-06 10:36,,
A2185,"Com essa importante parceria, vamos ofertar o imunobiológico às pessoas que ainda não tiveram acesso. A unidade móvel tem capacidade para atender até 400 pessoas por dia e vai percorrer 12 bairros até 9 de novembro, de segunda a sábado. ????",Positivo,Sem sarcasmo/Ironia,"Empolgação, otimismo",,3 - Difícil,luizh.batista@usp.br,2023-11-06 10:37,,
A5047,"Nesta quarta-feira, tem aplicação da 2° dose contra covid-19 para completar o ciclo vacinal. E assim que novas doses chegarem a Belém, novos calendários serão divulgados. Confira os locais de amanhã, funcionando das 9h às 17h e leve RG, CPF e cartão de vacinação #BelémVacinada https://t.co/5IAJFvbYl9",Positivo,Sem sarcasmo/Ironia,Otimismo,,3 - Difícil,luizh.batista@usp.br,2023-11-06 10:59,,
A4774,"Kalil acaba de anunciar medidas + rígidas p/ conter a pandemia em BH. Confio no Comitê de Enfrentamento e sei que são medidas duras, mas necessárias. Vivemos o pior momento do contágio, c/ todos os indicadores no vermelho. Sigo pressionando pela vacinação imediata em nosso país!",Positivo,Sem sarcasmo/Ironia,"Certeza, alarme, apelativo",,3 - Difícil,luizh.batista@usp.br,2023-11-06 11:05,,
A994,Covid-19: Instituto Butantan começa a testar vacina chinesa em 20 de julho  https://t.co/uiKPjP61r5,Neutro,Sem sarcasmo/Ironia,neutralidade,,2 - Fácil,luizh.batista@usp.br,2023-11-06 11:07,,
A1250,"Como disse @lhmandetta, cloroquina não é panaceia. Em Manaus, Fundação paralisa testes por constatar efeitos colaterais. Por enquanto, infelizmente não há remédio cientificamente comprovado nem vacina. Quem disser o contrário MENTE e arrisca vidas. https://t.co/jyRG8RLNbF",Negativo,Sem sarcasmo/Ironia,"Preocupação, incômodo",,3 - Difícil,luizh.batista@usp.br,2023-11-06 11:10,,
A162,"@Robinso53422924 Não tem vacina mas tem tratamento né, tem remédio! Minha mãe pegou e ficou em quarentena se medicando...",Positivo,Sem sarcasmo/Ironia,Despreocupação,,2 - Fácil,luizh.batista@usp.br,2023-11-06 11:16,4,despreocupação
A6759,Professores e profissionais da educação perto da prioridade na vacinação contra a Covid-19! Meu Projeto de Lei foi aprovado e o governador em exercício tem 15 dias para tornar realidade. O ensino merece esse cuidado! #DelegadaMarthaRocha #Educação #Covid19 #Vacina #RioDeJaneiro https://t.co/i5lVIv2pUy,Positivo,Sem sarcasmo/Ironia,"Otimismo, alegria",,2 - Fácil,luizh.batista@usp.br,2023-11-06 11:22,5,otimismo
A2011,"O General Pazuello foi para o MS porque era o ""fodão"" da logística no Exército Brasileiro. Imagino coordenava o Plano Nacional de Capina e de Pintura de Cal em Meio-fio e Árvores.\nA vacina já existe e o MS não tem um plano de vacinação contra a COVID-19.\n#VoltaPraCapinaPazuello",Negativo,Sarcástico/Irônico,"Afliação, alarme",,3 - Difícil,luizh.batista@usp.br,2023-11-06 21:02,,
A6765,"Vacina não tem. Mas, tem liberação de armas, passeio de jet-ski, deboche para com o STF, juiz em conluio com procurador e ataques à liberdade de imprensa, com insinuações de retirar jornais de circulação. Fora isso, é só leite-moça, chiclete, picanha, cerveja, bacalhau e uísque.",Negativo,Sem sarcasmo/Ironia,Indignação,,2 - Fácil,luizh.batista@usp.br,2023-11-06 21:03,3,indignação
A5725,"E a partir de hoje, estamos aplicando a 2° dose da vacina nos moradores de 60 anos ou mais em Cotijuba e outras ilhas de Belém.  #BelémVacinada https://t.co/3cWiOlHiAD",Positivo,Sem sarcasmo/Ironia,Otimismo,,3 - Difícil,luizh.batista@usp.br,2023-11-06 21:03,,
A4035,"Pesquisa divulgada hoje mostra que  53% da população não quer afastamento de Bolsonaro. Tem mais de 50 pedidos de impeachment do presidente. Mas sem pressão popular, o Congresso Nacional e o STF nada fazem. Enquanto falta oxigênio e vacinas e mais de 215 mil mortes pela pandemia.",Negativo,Sem sarcasmo/Ironia,Incômodo,,3 - Difícil,luizh.batista@usp.br,2023-11-06 21:04,,
A6825,"Hoje minha mãe, minha rainha, meu exemplo de garra se vacinou, te amo mãe. E novamente agradeço o empenho do @EdmilsonPSOL em vacinar o povo belenense. #VivaOSuS #VacinaJá #VacinaSim. https://t.co/U35W0sIo1L",Positivo,Sem sarcasmo/Ironia,"Otimismo, felicidade",,2 - Fácil,luizh.batista@usp.br,2023-11-06 21:05,4,felicidade
A6975,"Reverendo Amilton chegou à #CPIdaCovid apresentando sua entidade como credenciada pela CNBB, parceira do CNJ e associada à ONU. A esta altura do depoimento já ficou provado que era tudo MENTIRA!\n\nO pior é que essa pilantragem toda visava receber “doação” pós-negócio de vacina.",Negativo,Sem sarcasmo/Ironia,Indignação,,3 - Difícil,luizh.batista@usp.br,2023-11-06 21:06,,
A1293,Lote com 600 litros de insumos para fabricação de até 1 milhão de doses da vacina CoronaVac acaba de chegar a São Paulo. O material será guardado em local secreto para garantir a segurança.\n\nQuanto mais vacinas melhor!\n#butantan #covid #vacinacao https://t.co/1slVQaLoI4,Positivo,Sem sarcasmo/Ironia,otimismo,,2 - Fácil,luizh.batista@usp.br,2023-11-06 21:06,5,otimismo
A3981,"Ao longo desse mês nos conscientizamos sobre a saúde da mulher brasileira. Defendemos a vacinação contra HPV nas escolas e construção de centros especializados na saúde da mulher, mas também destinei recursos para o FCecon e para a Casa da Mulher Brasileira. #Alutacontinua https://t.co/YR1jA4Pj5K",Positivo,Sem sarcasmo/Ironia,Disposição,,2 - Fácil,luizh.batista@usp.br,2023-11-06 21:07,3,perseverança
A1458,"...As vacinas que já tiverem autorização dos seus países de origem, ou já sendo utilizadas em outros países, como o caso da Inglaterra, devem ser autorizadas emergencialmente e imediatamente pela Anvisa para serem disponibilizadas para a população brasileira...",Neutro,Sem sarcasmo/Ironia,Neutralidade,,3 - Difícil,luizh.batista@usp.br,2023-11-06 21:07,,
A4890,Todo apoio e solidariedade à greve dos AAEs - Assistentes Administrativos Educacionais da Prefeitura de Belo Horizonte . \n#Negocia prefeito @alexandrekaliloficial\n#NossasVidasImportam \n#VacinaJá https://t.co/PkM9oPW1EE,Positivo,Sem sarcasmo/Ironia,Solidariedade,,2 - Fácil,luizh.batista@usp.br,2023-11-06 21:08,5,solidariedade
A1019,"Estamos cobrando rapidez ao Governo Federal. Se a Anvisa demorar na certificação, assim que a primeira vacina for aprovada por qualquer organização científica internacional irei ao STF para garantir que baianas e baianos sejam vacinados com a maior brevidade possível.",Positivo,Sem sarcasmo/Ironia,Disposição,,4 - Muito Difícil,luizh.batista@usp.br,2023-11-06 21:10,,
A133,"A inoperância e a falta de um planejamento nacional sobre a vacinação, faz da busca pela vacina um salve-se quem puder. Um desrespeito com a população, especialmente a dos municípios mais pobres. \n#VacinaJa #VacinaParaTodaseTodos \nhttps://t.co/6tmMuSV0El",Negativo,Sem sarcasmo/Ironia,"indignação, preocupação",,2 - Fácil,luizh.batista@usp.br,2023-11-06 21:11,4,indignação
A5976,"Hoje é um triste dia para quem luta em prol da Soberania Nacional. Bolsonaro sancionou a privatização da Eletrobrás.\nAo invés de estar preocupado em vacinar e gerar emprego para o nosso povo, ele quer apenas vender as nossas instituições, e retirar direitos dos trabalhadores. https://t.co/cOKf7MgMHN",Negativo,Sem sarcasmo/Ironia,Tristeza,,2 - Fácil,luizh.batista@usp.br,2023-11-06 21:11,5,tristeza
A1202,"Bolsonaro disse hoje que ""ganhou"" quando conseguiu suspender testes da vacina para uma doença que já matou 160 mil brasileiros. Russomanno também comemorou. Isso é genocídio em estado puro.",Negativo,Sem sarcasmo/Ironia,Indignação,,3 - Difícil,luizh.batista@usp.br,2023-11-06 21:13,,
A714,"E agora vamos avançar na vacinação de crianças de 6 meses a menores de 6 anos, gestantes, puérperas e pessoas com deficiência. Quem procurar o atendimento hoje já será imunizado.",Positivo,Sem sarcasmo/Ironia,"Disposição, proteção",,2 - Fácil,luizh.batista@usp.br,2023-11-06 21:14,3,satisfação
A1425,"Após Anvisa suspender Coronavac, Bolsonaro diz que ""ganhou"" de Doria https://t.co/ZgDQbR51gS via @UOLNoticias @UOL",Neutro,Sem sarcasmo/Ironia,neutralidade,,2 - Fácil,luizh.batista@usp.br,2023-11-06 21:15,,
A1067,"Como prefeito de Salvador, meu compromisso será com a liberdade e saúde das pessoas. Caso eleito, não haverá obrigatoriedade de vacinas sem a devida comprovação, e o uso de máscaras será opcional. Colocaremos à disposição o tratamento precoce nas unidades de saúde da cidade. 2️⃣8️⃣",Positivo,Sem sarcasmo/Ironia,"Serenidade, proatividade",,3 - Difícil,luizh.batista@usp.br,2023-11-06 21:16,,
A4129,"É inacreditável, mas infelizmente há relatos de casos de destruição ou inutilização das vacinas contra o coronavírus. Por isso, votei a favor do PL 27/2021 que tornará crime quem cometer essa prática contra a saúde pública.\n\n#VacineManausAmazonia\n#VacineManaus #VacineAmazonia https://t.co/dQlcYvx3Nh",Negativo,Sem sarcasmo/Ironia,Indignação,,3 - Difícil,luizh.batista@usp.br,2023-11-07 14:55,,
A2630,74% dos adultos com ao menos uma dose. 30% dos adultos com esquema vacinal completo. Neste sábado continuamos vacinando segunda dose de Astra e Coronavac nos pontos fixos. Para D1 aguardo ansiosamente a chegada de nova remessa.,Positivo,Sem sarcasmo/Ironia,"Otimismo, anseio, expectativa",,2 - Fácil,luizh.batista@usp.br,2023-11-07 14:57,4,"expectativa, anseio"
A4412,"Entreguei hoje ao presidente da Comissão de Direitos Humanos da @camaradeputados, @heldersalomao , o relatório da visita de fiscalização que fizemos ao Hospital de Campanha Nilton Lins que não está funcionando como deveria.\n\n#VacineManausAmazonia\n#VacineManaus #VacineAmazonia https://t.co/Q6wWaZDMfU",Positivo,Sem sarcasmo/Ironia,"Determinação, realização, responsabilidade, satisfação","Muito difícil identificar o sentimento preodimante. Há conotação negativa pelo fato de existir um tom de incômodo com um problema (hospital), mas também existe um tom de realização, de responsabilidade por procurar lidar com o problema",4 - Muito Difícil,luizh.batista@usp.br,2023-11-07 15:01,,
A214,"Os dois principais produtores de vacinas do Brasil, o Bio-Manguinhos da Fiocruz e o Instituto Butantan, entraram de vez na corrida contra o novo #coronavirus para fabricar mais de 40 milhões de doses de vacinas por mês. https://t.co/p7mAdsRLza",Positivo,Sem sarcasmo/Ironia,Excitação,"Assumi que os os dois produtores de vacina são agentes que lutam contra algo ruim: o novo coronavírus. Por isso classifiquei o etxto como positivo. Além disso, o uso do termo corrida indica que alguém irá vencer, mais uma vez demonstrando implicitamente alguma conotação positiva com a produção de vacinas. Há também os numeros que são usados com o intuito, aparentemente, de transmitir grandeza",3 - Difícil,luizh.batista@usp.br,2023-11-07 15:04,,
A5742,"A partir do dia 01 de junho começa a primeira etapa da vacinação dos trabalhadores da educação do Piauí! Um passo importante para o retorno seguro das aulas e um avanço no processo de imunização no Estado! No rumo certo, iremos vencer!",Positivo,Sem sarcasmo/Ironia,"Otimismo, esperança",,2 - Fácil,luizh.batista@usp.br,2023-11-07 15:05,5,otimismo
A1607,1/ Não é apenas a briga com a China e discordâncias em relação à luta contra o Covid19 que estão levando os EUA a romper com a OMS. A Organização Mundial da Saúde está prestes a aprovar uma Resolução recomendando a quebra de patente para qualquer vacina ou tratamento para Covid19 https://t.co/hMmT2qJs7s,Neutro,Sem sarcasmo/Ironia,neutralidade,,2 - Fácil,luizh.batista@usp.br,2023-11-07 15:05,,
